path	tier	sha256	source	evidence	verified_by	notes
srv/Assets/Crate.swf	O	19c320ea8e28095699c5b32bf70cf8a2f5d343f8e892f2fe909f7d049b035f36	archive/classic.tanktrouble.com/Assets/Crate.swf	live 2017-2018 per identical+era-confirmed (tools/era_choices.tsv; era digests FX7RWIJDFHX3M3IIKRBRQQIC62C7HSRT)	tests/test_assets.py	era method: identical+era-confirmed; rejected: wayback-zip-swfs/Crate__Assets_19C320EA.swf;zip-extracted/20130818_TankTrouble_v3.8c/Assets/Crate.swf;zip-extracted/20111011_TankTrouble_v3.6/Assets/Crate.swf
srv/Assets/GameTank.swf	O	d1e004d4c60e2c19a5f7219c3e1fc57f535a3ffdafe8b3784d1ad25a06076fbd	archive/wayback-zip-swfs/GameTank__Assets_D1E004D4.swf	live 2017-2018 per sha1-digest-match (tools/era_choices.tsv; era digests YMIQWA4FC4BDTGUXM7XW4DVFKBLBDWEI)	tests/test_assets.py	era method: sha1-digest-match; rejected: classic.tanktrouble.com/Assets/GameTank.swf;wayback-zip-swfs/GameTank__Assets_83B96231.swf;zip-extracted/20130818_TankTrouble_v3.8c/Assets/GameTank.swf;zip-extracted/20111011_TankTrouble_v3.6/Assets/GameTank.swf
srv/Assets/Laika.swf	O	c5bafd71685fca0d5b133827529ee307e7db39db7fd5361c306905bb8609b65e	archive/classic.tanktrouble.com/Assets/Laika.swf	live 2017-2018 per identical+era-confirmed (tools/era_choices.tsv; era digests U4WJJLGHD6DSZYN2SLAHSSI63DKT6ULO)	tests/test_assets.py	era method: identical+era-confirmed; rejected: -
srv/Assets/Tank.swf	O	cc116db1c16f14e5eb0bd2501fddf6d8e9d2324e38f7387dcbe1baebd3d84c1f	archive/classic.tanktrouble.com/Assets/Tank.swf	live 2017-2018 per sha1-digest-match (tools/era_choices.tsv; era digests AEQQY3RBNSGNSYRXEGI5VITNX37SOUPD;UKRGAQYOHNGNZOI3OY2DYXKHBXRFFHOX;Z55NHBSN3W4FP7XREW42LWJUIDUOLLJM)	tests/test_assets.py	era method: sha1-digest-match; rejected: wayback-zip-swfs/Tank__Assets_51D440C0.swf;wayback-zip-swfs/Tank__Assets_8C458EF1.swf;wayback-zip-swfs/Tank__Assets_B502114E.swf;zip-extracted/20130818_TankTrouble_v3.8c/Assets/Tank.swf;zip-extracted/20121003_TankTrouble_v3.6e/Assets/Tank.swf;zip-extracted/20111011_TankTrouble_v3.6/Assets/Tank.swf;zip-extracted/20110520_TankTrouble_v3.5/Assets/Tank.swf
srv/ads.txt	known-lost	—	—	first CDX capture 2023-06-14, outside era	—	no body held; wayback-recoverable, out of milestone-1 scope
srv/changePassword.php	M2	—	written 2026-08-02	inf; named in infirmary page author comment (srv/infirmary/index.html)	—	501 stub (milestone 1)
srv/content.php	M2	—	written 2026-08-02	obs in CDX	—	501 stub (milestone 1)
srv/embed.php	M1	—	written 2026-08-02	de-rendered 2026-08-03: era-final capture (20181020) verbatim in one @O fence (tools/derender.py); 9 era captures byte-stable since 20170124 incl. the page's own constant initCode numUsers=0	tests/test_render_diff.py	PROMOTED M2->M1 2026-08-03: all 5 dynamic regions template-edit:20170124 -> render fully gated by gate F
srv/faq/index.php	M2	—	written 2026-08-02	directory /faq/ observed in CDX; index filename convention-inferred	—	501 stub (milestone 1)
srv/feedback.php	M2	—	written 2026-08-02	http-observed (HUNT-LOG 46); referenced in 2018 bodies	—	501 stub (milestone 1)
srv/getimage.php	M2	—	written 2026-08-02	obs in CDX x99; ?id=N ?at2x; images content-addressed by integer (HUNT-LOG 46 n.3)	—	501 stub (milestone 1)
srv/images/betaAccessBackground.png	O	65890d8e4f17aa4c32c009c3ad5889cc9943fb274225ef3133e7a7e8293e0255	archive/classic-ui-images/betaAccessBackground.png	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/betaSign.png	O	fb66ee87c8c5f0120554854b16f5cef694b6a626ae3574ff637eb1ae538842fc	archive/classic-ui-images/betaSign.png	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/bigBoxBlackBottom.jpg	O	08c6a3c4aa7c9a593769c6409ca0baf029b850fb3c04f297fa4c2e69e5f4a114	archive/classic-ui-images/bigBoxBlackBottom.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/bigBoxBlackMiddle.jpg	O	bfed8206c3d3b5e815cd41a62756e51ec74bc0016e177ce5b17134483f585d85	archive/classic-ui-images/bigBoxBlackMiddle.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/bigBoxBlackTop.jpg	O	659921398a0243f3b21af3a2e3b0c778ecde41009b3ad3b138803235a6da0ab1	archive/classic-ui-images/bigBoxBlackTop.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/bigBoxBoobyTrapperMiddleAndBottom.jpg	O	51ccb101cfb55073f372d5420ef1883b4ade6b93fb8d8fd9f0ca50b52a4f5548	archive/classic-ui-images/bigBoxBoobyTrapperMiddleAndBottom.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
srv/images/bigBoxDeathRayMiddleAndBottom.jpg	O	eb358d30294945085bcc8e9e627527a995ac8a4000bd2492971d7a47a7844dcd	archive/classic-ui-images/bigBoxDeathRayMiddleAndBottom.jpg	recovered classic /images/ set, 122 files (HUNT-LOG 27)	tests/test_assets.py	—
