region_id	ref_lines	status	sample
S000	1-5	static	
D001	6-6	dynamic	<meta name="keywords" content="tank game, tankgame, 2 player, 3 player, TankTrou
S002	7-8	static	<meta name="description" content="Most explosive 2 player tank game online! Grea
D003	9-9	dynamic	<title>TANK TROUBLE Online Multiplayer Tank Game</title>
S004	10-14	static	<link href="includes/styles.css" rel="stylesheet" type="text/css" />
D005	15-16	dynamic	<script type="text/javascript" src="includes/phaser.min.js"></script>
S006	17-96	static	<script type="text/javascript" src="includes/swfobject.js"></script>
D007	97-97	dynamic	<img src="images/menuStartSelect.jpg" alt=""/><a href="?game"><img src="images/t
S008	98-112	static	<td style="background-image: url(images/menuBackground.jpg); background-repeat: 
D009	113-113	dynamic	Chalk up some kills, improve your skills </span>
S010	114-121	static	</div>
D011	122-122	dynamic	Copyright <a href="http://www.purup.com" target="_blank" style="text-decoration:
S012	123-128	static	</div>
D013	129-133	dynamic	if(window.location.hostname == "localhost")
S014	134-145	static	if (!getDataUploaded() || (link != undefined && link != ""))
D015	146-146	dynamic	
S016	147-147	static	var dataUploaded = true;
D017	148-148	dynamic	
S018	149-152	static	function getDataUploaded()
D019	153-153	dynamic	
S020	154-164	static	function setDataUploaded(val)
D021	165-165	dynamic	
S022	166-176	static	var allElements = document.getElementsByTagName('*');
D023	177-177	dynamic	
S024	178-193	static	//Otherwise, we assume target is _self
D025	194-195	dynamic	}
S026	196-201	static	//REMEMBER TO CHANGE THE VERSION IN logIn.php AND embed.php AS WELL!!!
D027	202-202	dynamic	tt.addParam('FlashVars','initCode=Jms9Nzk4Mzk4OTE='); tt.write("TankTrouble");
S028	203-231	static	
D029	232-232	dynamic	
S030	233-234	static	document.getElementById('TankTroubleTeaserText').style.display='none';
D031	235-235	dynamic	
S032	236-238	static	// Redirect if in iframe
D033	239-240	dynamic	</script>
S034	241-245	static	</div>
D035	246-253	dynamic	<!-- TankTrouble skyscraper left -->
S036	254-258	static	
D037	259-259	dynamic	<div class="content" id="scrapyard" style="padding: 4px 0px 0px 0px; height: 18p
S038	260-265	static	</div>
D039	266-283	dynamic	var scrapyardElement = document.getElementById("scrapyard");
S040	284-285	static	// -->
D041	286-302	dynamic	
S042	303-307	static	</div><div style="background-color: #ff0000; border: 2px solid #ff0000; border-t
D043	308-308	dynamic	var s = (1475758800000 - new Date().getTime()) / 1000;
S044	309-340	static	var t = "";
D045	341-341	dynamic	t = "Online battles are in heavy development. Try now!";
S046	342-346	static	}
D047	347-347	dynamic	</script><div id="loginAllUserInfo" style="display: none;"></div>
S048	348-367	static	<div id="login" class="box standard" style="position: relative; visibility: hidd
D049	368-368	dynamic	<input id="loginpassword" type="password" name="password" size="12" value="passw
S050	369-426	static	<div id="loginerror" style="width: 110px; height: 10px; float:left; display:none
D051	427-431	dynamic	
S052	432-482	static	}
D053	483-483	dynamic	var c = new SWFObject("includes/signUpTankDesign18StandardColours.swf", "signUpT
S054	484-859	static	c.addParam("allowScriptAccess", "sameDomain");
D055	860-860	dynamic	Since 2007-12-16<br/><div style="padding: 2px 0px 2px 0px;" class="text normal">
S056	861-862	static	</div>
D057	863-864	dynamic	</div>
S058	865-870	static	
D059	871-878	dynamic	<!-- TankTrouble skyscraper right -->
S060	879-904	static	
D061	905-905	dynamic	<div class="content text tiny gray" style="text-align: justify; height: 110px;">
S062	906-993	static	<div class="tab1" style="width: 60px; text-align: center; position: absolute; bo
D063	994-994	dynamic	window.open('https://beta.tanktrouble.com/#'+encodeURIComponent('type=messages')
S064	995-1000	static	
D065	1001-1002	dynamic	};
S066	1003-1116	static	</script> </div>
D067	1117-1117	dynamic	if (username === currentUsertrailName)
S068	1118-1135	static	return;
D069	1136-1136	dynamic	if (currentElement.innerHTML === currentUsertrailName)
S070	1137-1159	static	{
D071	1160-1160	dynamic	currentUsertrailName = null;
S072	1161-1559	static	}
D073	1560-1566	dynamic	}
S074	1567-1576	static	}
