region_id	ref_lines	status	sample	annotation	region_sha
S000	1-5	static		—	e18bda0ce523
D001	6-6	dynamic	<meta name="keywords" content="tank game, tankgame, 2 player, 3 player, TankTrou	template-edit:20180317	7387a7eadd0b
S002	7-8	static	<meta name="description" content="Most explosive 2 player tank game online! Grea	—	99da207d7e2c
D003	9-9	dynamic	<title>TANK TROUBLE Online Multiplayer Tank Game</title>	template-edit:20180317	ba612e32eec9
S004	10-14	static	<link href="includes/styles.css" rel="stylesheet" type="text/css" />	—	72f10bb9fb47
D005	15-16	dynamic	<script type="text/javascript" src="includes/phaser.min.js"></script>	template-edit:20170228	a8dca34e2269
S006	17-96	static	<script type="text/javascript" src="includes/swfobject.js"></script>	—	c406473b46f3
D007	97-97	dynamic	<img src="images/menuStartDeselect.jpg" alt=""/><a href="?game"><img src="images	template-edit:20180116	235d5d46f082
S008	98-381	static	<td style="background-image: url(images/menuBackground.jpg); background-repeat: 	—	6e7440cf9e92
D009	382-384	dynamic	emailChecked = true;	template-edit:20170429	d73b126e92b8
S010	385-471	static	document.getElementById('userSettingsTankFlash-'+user).SetVariable("fadeOut", "t	—	dfce893980e2
D011	472-472	dynamic	else if (password1.value.length > 32)	template-edit:20171212	f165d54e12ef
S012	473-777	static	{	—	786baa075790
D013	778-778	dynamic	var sy = new SWFObject("includes/signUpTankDesign18StandardColours.swf", "userSe	template-edit:20180814	b51ef1561e35
S014	779-807	static	sy.addParam("allowScriptAccess", "sameDomain");	—	387e69aa31c8
D015	808-808	dynamic	<td><input id="signuppassword1" type="password" name="password1" value="password	template-edit:20171212	fa04d79f58ce
S016	809-815	static	</tr>	—	f23cc6632806
D017	816-816	dynamic	<td style="vertical-align: top;"><input id="signuppassword2" type="password" nam	template-edit:20171212	60c50633aff3
S018	817-843	static	</tr>	—	81c3bc1f248b
D019	844-844	dynamic	var c = new SWFObject("includes/signUpTankDesign18StandardColours.swf", "signUpT	template-edit:20180814	418153a8b64b
S020	845-936	static	c.addParam("allowScriptAccess", "sameDomain");	—	2607b5eb68c4
D021	937-937	dynamic	else if (password1.value.length > 32)	template-edit:20171212	1c0cd7ea0b3a
S022	938-1015	static	{	—	801b543ccbd3
D023	1016-1020	dynamic	else if (r == "Username not allowed!")	template-edit:20180619	82ac8c56feaa
S024	1021-1242	static	else if(r == "Username already taken!")	—	5aa9992d9a18
D025	1243-1251	dynamic	<script async src="//pagead2.googlesyndication.com/pagead/js/adsbygoogle.js"></s	template-edit:20170429	b4f1918a16e1
S026	1252-1256	static		—	858c4732e8ed
D027	1257-1257	dynamic	<div class="content" id="scrapyard" style="padding: 4px 0px 0px 0px; height: 18p	template-edit:20170228	a9911960d7a6
S028	1258-1263	static	</div>	—	7ce448f66560
D029	1264-1281	dynamic	var scrapyardElement = document.getElementById("scrapyard");	template-edit:20170228	e459cf549f3e
S030	1282-1283	static	// -->	—	2c8d4d067987
D031	1284-1300	dynamic		per-request:seasonal-promo (date-derived)	3b6736840adf
S032	1301-1305	static	</div><div style="background-color: #ff0000; border: 2px solid #ff0000; border-t	—	2c8bc4b8352a
D033	1306-1306	dynamic	var s = (1475758800000 - new Date().getTime()) / 1000;	template-edit:20170429	db18584a49fd
S034	1307-1338	static	var t = "";	—	cc768dec7789
D035	1339-1339	dynamic	t = "Online battles are in heavy development. Try now!";	template-edit:20171212	208ae081284b
S036	1340-1344	static	}	—	022949edfd29
D037	1345-1345	dynamic	</script><div id="loginAllUserInfo" style="display: none;"></div>	template-edit:20170625	9c235fd4e4e0
S038	1346-1365	static	<div id="login" class="box standard" style="position: relative; visibility: hidd	—	8b6561168569
D039	1366-1366	dynamic	<input id="loginpassword" type="password" name="password" size="12" value="passw	template-edit:20171212	88993e2a8b97
S040	1367-1424	static	<div id="loginerror" style="width: 110px; height: 10px; float:left; display:none	—	f9a3f40318c8
D041	1425-1429	dynamic		template-edit:20180619	bf8aa1c32103
S042	1430-1480	static	}	—	afaa8229f755
