target	verdict	tier	chosen_source	sha256	sha1b32	era_digests	candidates	notes
expressinstall.swf	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /expressinstall.swf
images/300000000.jpg	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/300000000.jpg
images/500000001.jpg	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/500000001.jpg
images/AdventCalendarOverview.jpg	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/AdventCalendarOverview.jpg
images/androidIngame.jpg	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/androidIngame.jpg
images/androidScared.png	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/androidScared.png
images/anniversaryCake.png	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/anniversaryCake.png
images/availableOnAppStore.png	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/availableOnAppStore.png
images/betaAccessNewsBackground.png	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/betaAccessNewsBackground.png
images/bubble.png	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/bubble.png
images/busyMaze.png	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/busyMaze.png
images/christmasDisplay.png	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/christmasDisplay.png
images/christmasPresentOpen.jpg	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/christmasPresentOpen.jpg
images/crateSpawnToolDeselect.jpg	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/crateSpawnToolDeselect.jpg
images/crateSpawnToolSelect.jpg	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/crateSpawnToolSelect.jpg
images/cross.jpg	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/cross.jpg
images/dimitrisDeathRay.jpg	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/dimitrisDeathRay.jpg
images/dimitrisEmporium.png	weak-candidate-only	known-lost	—	—	—	—	ia-items/extracted/images/DimitrisEmporium.png;wiki-dumps/tt-game-wiki/images/DimitrisEmporium.png	no era CDX row and no copy at the served path; basename matches elsewhere in the archive (ia-items/extracted/images/DimitrisEmporium.png; wiki-dumps/tt-game-wiki/images/DimitrisEmporium.png) are unproven — adjudicate by eye before any promotion
images/facebookTankTroubleLogo.jpg	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/facebookTankTroubleLogo.jpg
images/formV.jpg	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/formV.jpg
images/fourCrates.jpg	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/fourCrates.jpg
images/greetingsFromTheBahamas.png	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/greetingsFromTheBahamas.png
images/halloweenSwag.png	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/halloweenSwag.png
images/hoodies.png	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/hoodies.png
images/iPhone1.0.0.jpg	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/iPhone1.0.0.jpg
images/jack-o-LanternOpen.png	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/jack-o-LanternOpen.png
images/kickstarterCrates554x227.png	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/kickstarterCrates554x227.png
images/laika.jpg	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/laika.jpg
images/laikaSmall.jpg	weak-candidate-only	known-lost	—	—	—	—	ia-items/extracted/images/LaikaSmall.jpg;wiki-dumps/tt-game-wiki/images/LaikaSmall.jpg	no era CDX row and no copy at the served path; basename matches elsewhere in the archive (ia-items/extracted/images/LaikaSmall.jpg; wiki-dumps/tt-game-wiki/images/LaikaSmall.jpg) are unproven — adjudicate by eye before any promotion
images/maze.jpg	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/maze.jpg
images/mazeConstructToolDeselect.jpg	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/mazeConstructToolDeselect.jpg
images/mazeConstructToolSelect.jpg	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/mazeConstructToolSelect.jpg
images/mouseControl.jpg	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/mouseControl.jpg
images/newStamp.png	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/newStamp.png
images/nextWeaponSketches.jpg	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/nextWeaponSketches.jpg
images/polaroidDonut.png	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/polaroidDonut.png
images/polaroidShaft.png	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/polaroidShaft.png
images/pollBarGreenLeft.jpg	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/pollBarGreenLeft.jpg
images/pollBarGreenMiddle.jpg	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/pollBarGreenMiddle.jpg
images/pollBarGreenRight.jpg	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/pollBarGreenRight.jpg
images/pollBarRedLeft.jpg	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/pollBarRedLeft.jpg
images/pollBarRedMiddle.jpg	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/pollBarRedMiddle.jpg
images/pollBarRedRight.jpg	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/pollBarRedRight.jpg
images/pollBarYellowLeft.jpg	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/pollBarYellowLeft.jpg
images/pollBarYellowMiddle.jpg	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/pollBarYellowMiddle.jpg
images/pollBarYellowRight.jpg	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/pollBarYellowRight.jpg
images/pollKickstarterCrates.png	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/pollKickstarterCrates.png
images/researchFacility.jpg	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/researchFacility.jpg
images/shopCollection00.jpg	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/shopCollection00.jpg
images/sixCrates.jpg	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/sixCrates.jpg
images/skull.jpg	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/skull.jpg
images/spannerRevealed.jpg	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/spannerRevealed.jpg
images/sprayCans.png	unobserved	known-lost	—	—	—	—	—	referenced by the pages but no era CDX row and no held bytes for /images/sprayCans.png
