name	srv_path	chosen_source	method	tier	era_digests	rejected	notes
styles.css	srv/includes/styles.css	archive/includes-tree/20201225_styles.css	sha1-digest-match	O	B43SSO6LBA7NS5H3X3ZU5T7EUFT7BGWI	includes-tree/20101128_styles.css	digest B43SSO6LBA7NS5H3X3ZU5T7EUFT7BGWI observed in era window (83 rows)
swfobject.js	srv/includes/swfobject.js	archive/includes-tree/20201222_swfobject.js	sha1-digest-match(mid-era-change)	O	DRIHDH3ZSMN4S2WLG3QZ5H6BIMHTKIAD;FSKBNHLH6XINVYRK5NINCKUX55FVU2A3	includes-tree/20101128_swfobject.js;includes-tree/20201225_swfobject.js;classic.tanktrouble.com/includes/swfobject.js	multiple held digests served in-era; longest presence chosen (includes-tree/20101128_swfobject.js=39 era rows; includes-tree/20201222_swfobject.js=44 era rows; includes-tree/20201225_swfobject.js=44 era rows; classic.tanktrouble.com/includes/swfobject.js=44 era rows)
mootools-release-1.11.js	srv/includes/mootools-release-1.11.js	archive/includes-tree/20101128_mootools-release-1.11.js	identical+era-confirmed	O	O7WFBMFXYDTIAMTYCS3MWLXOTLC25T4V	includes-tree/20201225_mootools-release-1.11.js	digest confirmed in era window (80 rows)
boxStyles.css	srv/includes/boxStyles.css	archive/includes-tree/20201225_boxStyles.css	sha1-digest-match	O	4PGIEAHEMWZDIKPJIVTKGGS6TABPIODS;FGNRY2Q6FKLDPPNGHVB7ARQMDBLFSFTI	includes-tree/20130313_boxStyles.css	digest FGNRY2Q6FKLDPPNGHVB7ARQMDBLFSFTI observed in era window (18 rows)
forumStyles.css	srv/includes/forumStyles.css	archive/includes-tree/20130313_forumStyles.css	identical+era-confirmed	O	D6HDGOUQJFXIIIG7QQLL6EFVDYCU3WJ4	includes-tree/20201225_forumStyles.css	digest confirmed in era window (83 rows)
newsStyles.css	srv/includes/newsStyles.css	archive/includes-tree/20201225_newsStyles.css	sha1-digest-match	O	GMCVKE5CDMDIGUKVAKDXRMXCDBTI6QQQ;N2ZIS2ILDVQBKA34RMALXQEJGGBZIL6K	includes-tree/20130313_newsStyles.css	digest GMCVKE5CDMDIGUKVAKDXRMXCDBTI6QQQ observed in era window (68 rows)
shopStyles.css	srv/includes/shopStyles.css	archive/includes-tree/20201225_shopStyles.css	sha1-digest-match	O	EMXT2SOFYHJRHFF4XGKDM26DLGSEUZS4	includes-tree/20150529_shopStyles.css	digest EMXT2SOFYHJRHFF4XGKDM26DLGSEUZS4 observed in era window (81 rows)
phaser.min.js	srv/includes/phaser.min.js	archive/includes-tree/20170221_phaser.min.js	identical+era-confirmed	O	KICWO75VZBJOOTW6CHD7SX6JN7QRBK6R	includes-tree/20201225_phaser.min.js	digest confirmed in era window (77 rows)
scrapyard.js	srv/includes/scrapyard.js	archive/includes-tree/20170221_scrapyard.js	identical+era-confirmed	O	O3K3GBQMPB4BAZAHD2YC4OZC2IIF4RUS	includes-tree/20201225_scrapyard.js	digest confirmed in era window (76 rows)
TankTrouble_v4.0.swf	srv/includes/TankTrouble_v4.0.swf	archive/includes-tree/20130313_TankTrouble_v4.0.swf	identical+era-confirmed	O	R43R6IEQZXI664X3XVUWJBK7ZLJHJ7IB	includes-tree/20201225_TankTrouble_v4.0.swf	digest confirmed in era window (48 rows)
c64.woff	srv/includes/c64.woff	archive/includes-tree/20150315_c64.woff	identical+era-confirmed	O	OSKQS2L42JOARMAZNPJMKSH5PGSTRY33	includes-tree/20201222_c64.woff;includes-tree/20201225_c64.woff	digest confirmed in era window (6 rows)
c64.eot	srv/includes/c64.eot	archive/includes-tree/20150126_c64.eot	identical+era-confirmed	O	6VH67TG2OU5PU6AB5N3Y4NRCYMHKQ7ZY	includes-tree/20210121_c64.eot	digest confirmed in era window (6 rows)
laika02.swf	srv/includes/laika02.swf	archive/includes-tree/20110625_laika02.swf	identical	O	-	includes-tree/20210113_laika02.swf	authentic bytes; era service not digest-confirmed (no era CDX rows)
signUpTankDesign18StandardColours.swf	srv/includes/signUpTankDesign18StandardColours.swf	archive/includes-tree/20190515_signUpTankDesign18StandardColours.swf	identical	O	-	includes-tree/20201225_signUpTankDesign18StandardColours.swf	authentic bytes; era service not digest-confirmed (no era CDX rows)
TTTradingCardsSeriesI.pdf	srv/includes/TTTradingCardsSeriesI.pdf	archive/includes-tree/20190606_TTTradingCardsSeriesI.pdf	identical	O	-	includes-tree/20210112_TTTradingCardsSeriesI.pdf	authentic bytes; era service not digest-confirmed (no era CDX rows)
TTTradingCardsSeriesII.pdf	srv/includes/TTTradingCardsSeriesII.pdf	archive/includes-tree/20190606_TTTradingCardsSeriesII.pdf	identical	O	-	includes-tree/20210112_TTTradingCardsSeriesII.pdf	authentic bytes; era service not digest-confirmed (no era CDX rows)
TTTradingCardsSeriesIII.pdf	srv/includes/TTTradingCardsSeriesIII.pdf	archive/includes-tree/20190606_TTTradingCardsSeriesIII.pdf	identical	O	-	includes-tree/20210112_TTTradingCardsSeriesIII.pdf	authentic bytes; era service not digest-confirmed (no era CDX rows)
TTTradingCardsSpecialAnniversaryCard.pdf	srv/includes/TTTradingCardsSpecialAnniversaryCard.pdf	archive/includes-tree/20190606_TTTradingCardsSpecialAnniversaryCard.pdf	identical	O	-	includes-tree/20210112_TTTradingCardsSpecialAnniversaryCard.pdf	authentic bytes; era service not digest-confirmed (no era CDX rows)
c64.ttf	srv/includes/c64.ttf	archive/includes-tree/20210121_c64.ttf	identical+era-confirmed	O	HMRAZPPSYFIJXOKDKOOUGRJ7XU3R3QKF	-	digest confirmed in era window (6 rows)
main.css	srv/includes/main.css	archive/includes-tree/20201222_main.css	single-capture	O	-	-	authentic bytes; era service not digest-confirmed (no era CDX rows)
news.css	srv/includes/news.css	archive/includes-tree/20201222_news.css	single-capture	O	-	-	authentic bytes; era service not digest-confirmed (no era CDX rows)
TankTrouble_v4.03.swf	srv/includes/TankTrouble_v4.03.swf	archive/includes-tree/20230908_TankTrouble_v4.03.swf	identical	O	-	classic.tanktrouble.com/includes/TankTrouble_v4.03.swf	authentic bytes; era service not digest-confirmed (no era CDX rows)
Tank.swf	srv/Assets/Tank.swf	archive/classic.tanktrouble.com/Assets/Tank.swf	sha1-digest-match	O	AEQQY3RBNSGNSYRXEGI5VITNX37SOUPD;UKRGAQYOHNGNZOI3OY2DYXKHBXRFFHOX;Z55NHBSN3W4FP7XREW42LWJUIDUOLLJM	wayback-zip-swfs/Tank__Assets_51D440C0.swf;wayback-zip-swfs/Tank__Assets_8C458EF1.swf;wayback-zip-swfs/Tank__Assets_B502114E.swf;zip-extracted/20130818_TankTrouble_v3.8c/Assets/Tank.swf;zip-extracted/20121003_TankTrouble_v3.6e/Assets/Tank.swf;zip-extracted/20111011_TankTrouble_v3.6/Assets/Tank.swf;zip-extracted/20110520_TankTrouble_v3.5/Assets/Tank.swf	digest Z55NHBSN3W4FP7XREW42LWJUIDUOLLJM observed in era window (10 rows)
GameTank.swf	srv/Assets/GameTank.swf	archive/wayback-zip-swfs/GameTank__Assets_D1E004D4.swf	sha1-digest-match	O	YMIQWA4FC4BDTGUXM7XW4DVFKBLBDWEI	classic.tanktrouble.com/Assets/GameTank.swf;wayback-zip-swfs/GameTank__Assets_83B96231.swf;zip-extracted/20130818_TankTrouble_v3.8c/Assets/GameTank.swf;zip-extracted/20111011_TankTrouble_v3.6/Assets/GameTank.swf	digest YMIQWA4FC4BDTGUXM7XW4DVFKBLBDWEI observed in era window (39 rows)
Crate.swf	srv/Assets/Crate.swf	archive/classic.tanktrouble.com/Assets/Crate.swf	identical+era-confirmed	O	FX7RWIJDFHX3M3IIKRBRQQIC62C7HSRT	wayback-zip-swfs/Crate__Assets_19C320EA.swf;zip-extracted/20130818_TankTrouble_v3.8c/Assets/Crate.swf;zip-extracted/20111011_TankTrouble_v3.6/Assets/Crate.swf	digest confirmed in era window (26 rows)
Laika.swf	srv/Assets/Laika.swf	archive/classic.tanktrouble.com/Assets/Laika.swf	identical+era-confirmed	O	U4WJJLGHD6DSZYN2SLAHSSI63DKT6ULO	-	digest confirmed in era window (22 rows)
